mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0							𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	Ehr'	und							
1	0	0	0	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	1									
1	0	0	0	0.0	0	3/4	StaffText	4/4	2	1	0						Cont.						
1	0	0	0	0.5	0	3/4	Chord	4/4	2	1	1/8	1/8	1	2									
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	2	1	1/8	1/8	1	3									
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	4									
1	0	0	0	1.0	0	3/4	Chord	4/4	4	1	1/4	1/4	1	5									
1	0	0	0	1.0	0	3/4	Chord	4/4	5	2	1/4	1/4	1	6									
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	7	sei	Je-							
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	8	Gott	-sum							
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	9									
2	1	3	3	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	10	in	Christ,							
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	11									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	12	dem	sein'm							
2	1	1	1	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	13									
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	14									
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	15									
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	16									
2	1	3	3	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	17									
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	18									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	19									
2	1	1	1	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	20									
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	21									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	22									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	23									
2	1	4	4	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	24									
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	25									
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	26									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	27									
2	1	3	3	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	28									
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	29									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	30									
2	1	1	1	1.0	0	0	Chord	4/4	5	2	1/4	1/4	1	31									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	5	2	1/4	1/4	1	32									
2	1	3	3	0.5	1/2	1/2	Chord	4/4	5	2	1/8	1/8	1	33									
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	5	2	1/8	1/8	1	34									
2	1	4	4	1.0	3/4	3/4	Chord	4/4	5	2	1/4	1/4	1	35									
3	2	5	5	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	36	höch-	lieb-							0
3	2	6	6	2.0	1/4	1/4	Chord	4/4	1	1	1/2	1/2	1	37									
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	38	-sten	-sten							
3	2	5	5	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	39									1
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	40									1
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	41									
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	42									
3	2	5	5	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	43									2
3	2	11/2	11/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	44									2
3	2	23/4	23/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	45									2
3	2	6	6	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	46									2
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	47									2
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	48									
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	49									
3	2	5	5	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	50									3
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	51									3
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	52									
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	53									
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	3	1/4	1/4	1	54									
3	2	5	5	1.0	0	0	Chord	4/4	5	2	1/4	1/4	1	55									4
3	2	6	6	1.0	1/4	1/4	Chord	4/4	5	2	1/4	1/4	1	56									4
3	2	7	7	1.0	1/2	1/2	Chord	4/4	5	2	1/4	1/4	1	57									
3	2	8	8	1.0	3/4	3/4	Chord	4/4	5	3	1/4	1/4	1	58									
4	3	9	9	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	59	Thron,	Sohn,							
4	3	12	12	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	60	dem	der							
4	3	9	9	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	61									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	62									
4	3	9	9	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	63									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	64									
4	3	9	9	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	65									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	66									
4	3	9	9	3.0	0	0	Chord	4/4	5	2	3/4	1/2	3/2	67									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	5	2	1/4	1/4	1	68									
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	69	Va-	uns							
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	70	-ter	all-							
5	4	15	15	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	71	al-	-zeit							5
5	4	31/2	31/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	72									5
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	73									5
5	4	13	13	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	74									
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	75									
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	76									
5	4	15	15	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	77									6
5	4	13	13	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	78									
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	79									
5	4	15	15	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	80									7
5	4	31/2	31/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	81									7
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	82									7
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	83									
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	84									
5	4	15	15	1.5	1/2	1/2	Chord	4/4	2	2	3/8	1/4	3/2	85									8
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	86									8
5	4	13	13	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	87									
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	88									
5	4	13	13	1.0	0	0	Chord	4/4	5	2	1/4	1/4	1	89									
5	4	14	14	1.0	1/4	1/4	Chord	4/4	5	2	1/4	1/4	1	90									
5	4	15	15	1.5	1/2	1/2	Chord	4/4	5	2	3/8	1/4	3/2	91									9
5	4	33/2	33/2	0.5	7/8	7/8	Chord	4/4	5	2	1/8	1/8	1	92									9
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	93									5
6	5	18	18	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	5
6	5	18	18	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	94									5
