mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=82.7	83.0	𝅘𝅥	82.7	0.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0	1. Des						
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	1	heil'-						
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2	-gen						
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	3							
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	4							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	5							
1	1	0	0	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	6							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	7							
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	8							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	9							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	10							
1	1	0	0	0.5	0	0	Chord	3/4	2	2	1/8	1/8	1	11							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	12							
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	13							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	14							
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	15							
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	16							
1	1	0	0	0.5	0	0	Chord	3/4	3	2	1/8	1/8	1	17							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8	1/8	1	18							
1	1	1	1	0.5	1/4	1/4	Chord	3/4	3	2	1/8	1/8	1	19							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8	1/8	1	20							
1	1	2	2	0.5	1/2	1/2	Chord	3/4	3	2	1/8	1/8	1	21							
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8	1/8	1	22							
2	2	3	3	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
2	2	3	3	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	23	Gei-						
2	2	7/2	7/2	0.0	1/8	1/8	Tempo	3/4	1	1	0					𝅘𝅥=82	82.0	𝅘𝅥	82.0	0.0	
2	2	4	4	0.0	1/4	1/4	Tempo	3/4	1	1	0					𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
2	2	9/2	9/2	0.0	3/8	3/8	Tempo	3/4	1	1	0					𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0	
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	24	-stes						
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	25							0
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	26							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	27							
2	2	3	3	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	28							1
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	29							1
2	2	4	4	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	30							1
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	31							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	32							
2	2	3	3	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	33							2
2	2	4	4	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	34							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	35							
2	2	3	3	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	36							3
2	2	4	4	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	37							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	38							
3	3	6	6	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
3	3	6	6	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	39	rei-						
3	3	8	8	0.0	1/2	1/2	Tempo	3/4	1	1	0					𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	40	-che						
3	3	6	6	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	41							4
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	42							4
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	43							
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	44							
3	3	6	6	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	45							
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	46							
3	3	6	6	0.5	0	0	Chord	3/4	2	2	1/8	1/8	1	47							5
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8	1/8	1	48							5
3	3	7	7	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	49							
3	3	8	8	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	50							
3	3	6	6	0.5	0	0	Chord	3/4	3	2	1/8	1/8	1	51							6
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	3	2	1/8	1/8	1	52							6
3	3	7	7	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	53							
3	3	8	8	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	54							
4	4	9	9	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
4	4	9	9	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	55	Gnad'						
4	4	9	9	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	56							7
4	4	10	10	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	57							
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	58							
4	4	9	9	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	59							
4	4	9	9	3.0	0	0	Chord	3/4	3	2	3/4	1/2	3/2	60							
5	5	12	12	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	61	die						
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	62	Her-						
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	63	-zen						
5	5	12	12	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	64							
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	65							
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	66							
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	67							
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	68							
5	5	12	12	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	69							
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	70							
5	5	13	13	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	71							
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	72							
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	73							
5	5	12	12	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	74							
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	75							
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	76							
5	5	12	12	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	77							
5	5	13	13	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	78							
5	5	14	14	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	79							
6	6	15	15	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	80	der						
6	6	15	15	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	81							8
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	82							8
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	83							
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	84							9
6	6	15	15	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	85							10
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	86							10
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	87							
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	88							
6	6	15	15	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	89							11
6	6	16	16	0.5	1/4	1/4	Chord	3/4	2	2	1/8	1/8	1	90							11
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	91							
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	92							
6	6	15	15	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	93							12
6	6	16	16	0.5	1/4	1/4	Chord	3/4	3	2	1/8	1/8	1	94							12
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	3	2	1/8	1/8	1	95							
6	6	17	17	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	96							
7	7	18	18	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	97	A-						
7	7	19	19	0.0	1/4	1/4	Tempo	3/4	1	1	0					𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
7	7	19	19	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	98	-po-						
7	7	20	20	0.0	1/2	1/2	Tempo	3/4	1	1	0					𝅘𝅥=67.6	68.0	𝅘𝅥	67.6	0.0	
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	99	-stel						
7	7	18	18	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	100							9
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	101							
7	7	19	19	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	102							
7	7	20	20	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	103							
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	104							13
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	105							
7	7	20	20	0.75	1/2	1/2	Chord	3/4	2	1	3/16	1/8	3/2	106							
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	107							
7	7	18	18	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	108							14
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	109							
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	110							
7	7	18	18	1.0	0	0	Chord	3/4	3	2	1/4	1/4	1	111							15
7	7	19	19	1.0	1/4	1/4	Chord	3/4	3	2	1/4	1/4	1	112							
7	7	20	20	1.0	1/2	1/2	Chord	3/4	3	2	1/4	1/4	1	113							
8	8	21	21	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
