mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0											𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4		1/4	1	0	1. Ich	ver-	2. Ich	An								
1	0	0	0	1.0	0	3/4	Chord	4/4	1	2	1/4		1/4	1	1												
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4		1/4	1	2												
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4		1/4	1	3												
1	0	0	0	1.0	0	3/4	Chord	4/4	3	2	1/4		1/4	1	4												
2	1	1	1	0.0	0	0	Chord	4/4	1	1	0	appoggiatura	1/8	1	5												
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	6	ruf'	-leih'	lieg'	dei-								
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	7	zu	mir	im	-ner								0
2	1	5/2	5/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	8												0
2	1	11/4	11/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	9												
2	1	3	3	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	10	dir	Gnad'	Streit'	Gnad'								
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	11												
2	1	4	4	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	12	Herr	zu	und	al-								
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	13												
2	1	1	1	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	14												
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	15												
2	1	3	3	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	16												
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	17												
2	1	4	4	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	18												
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	19												
2	1	1	1	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	20												1
2	1	3/2	3/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	21												
2	1	5/2	5/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	22												
2	1	11/4	11/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	23												
2	1	3	3	2.0	1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	24												2
2	1	1	1	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	25												3
2	1	3	3	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	26												
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	27												
2	1	4	4	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	28												
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	29												
2	1	1	1	2.0	0	0	Chord	4/4	3	2	1/2		1/2	1	30												4
2	1	3	3	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	31												
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	32												
2	1	4	4	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	33												
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	34												
3	2	5	5	0.75	0	0	Chord	4/4	1	1	3/16		1/8	3/2	35	Je-	die-	wi-	-lein								
3	2	23/4	23/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	36												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	37	-su	-ser	-der-	ich	ornamentTrill							
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	38	Christ,	Frist,	-streb'	kleb',								
3	2	8	8	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	39	ich	lass	hilf,	du								
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	40												
3	2	5	5	1.5	0	0	Chord	4/4	1	2	3/8		1/4	3/2	41												
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	42												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	43												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	44												
3	2	5	5	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	45												
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	46												
3	2	6	6	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	47												
3	2	25/4	25/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	48												
3	2	13/2	13/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16		1/16	1	49												
3	2	27/4	27/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16		1/16	1	50												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	51												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	52												
3	2	5	5	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	53												
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	54												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	55												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	56												
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	57												
3	2	8	8	0.0	3/4	3/4	StaffText	4/4	2	3	0										Cont.						
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	3	1/4		1/4	1	58												
3	2	5	5	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	59												
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	60												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	61												
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	62												
3	2	8	8	0.0	3/4	3/4	StaffText	4/4	3	3	0										Cont.						
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	3	1/4		1/4	1	63												
4	3	9	9	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	64	bitt'	mich	o	kannst								
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	65												
4	3	10	10	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	66	er-	doch	Herr	mich								
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	67												
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	68	-hör'	nicht	Christ,	stär-								
4	3	12	12	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	69	mein	ver-	dem	-ker								
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	70												
4	3	9	9	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	71												
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	72												
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	73												
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	74												
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	75												
4	3	10	10	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	76												
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	77												
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	78												
4	3	12	12	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	79												
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	80												
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	81												
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	82												
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	83												
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	84												
4	3	12	12	0.5	3/4	3/4	Chord	4/4	2	2	1/8		1/8	1	85												
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8		1/8	1	86												
4	3	9	9	1.0	0	0	Chord	4/4	2	3	1/4		1/4	1	87												
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	3	1/4		1/4	1	88												
4	3	11	11	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	89												
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	90												
4	3	12	12	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	91												
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8		1/8	1	92												
4	3	9	9	1.0	0	0	Chord	4/4	3	3	1/4		1/4	1	93												
4	3	10	10	1.0	1/4	1/4	Chord	4/4	3	3	1/4		1/4	1	94												
5	4	13	13	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	95	Kla-	-za-	Swa-	ma-								
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	96	-gen,	-gen.	-chen!	-chen.								
5	4	13	13	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	97												5
5	4	27/2	27/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4		1/4	1	98												5
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	99												
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	100												
5	4	13	13	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	101												6
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	102												6
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	103												
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	104												
5	4	13	13	2.0	0	0	Chord	4/4	2	2	1/2		1/2	1	105												
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	106												
5	4	13	13	2.0	0	0	Chord	4/4	3	2	1/2		1/2	1	107												
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	108												
6	5	16	16	0.0	0	3/4	Tempo	4/4	1	1	0											𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
6	5	16	16	1.0	0	3/4	Chord	4/4	1	1	1/4		1/4	1	109	Den	Kömmt										
6	5	16	16	0.5	0	3/4	Chord	4/4	1	2	1/8		1/8	1	110												7
6	5	33/2	33/2	0.25	1/8	7/8	Chord	4/4	1	2	1/16		1/16	1	111												7
6	5	67/4	67/4	0.25	3/16	15/16	Chord	4/4	1	2	1/16		1/16	1	112												
6	5	16	16	1.0	0	3/4	Chord	4/4	2	1	1/4		1/4	1	113												
6	5	16	16	1.0	0	3/4	Chord	4/4	2	2	1/4		1/4	1	114												
6	5	16	16	1.0	0	3/4	Chord	4/4	3	2	1/4		1/4	1	115												
7	6	17	17	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	116	rech-	nun										
7	6	18	18	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	117	-ten	An-										
7	6	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	118												
7	6	19	19	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	119	Weg,	-fech-										
7	6	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	120												
7	6	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	121	o	-tung,										
7	6	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	122												
7	6	17	17	1.0	0	0	Chord	4/4	1	2	1/4		1/4	1	123												
7	6	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	124												
7	6	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	125												
7	6	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	126												
7	6	17	17	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	127												
7	6	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	128												
7	6	18	18	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	129												
7	6	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	130												
7	6	19	19	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	131												
7	6	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	132												
7	6	17	17	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	133												
7	6	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	134												
7	6	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	135												
7	6	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	136												
7	6	17	17	1.0	0	0	Chord	4/4	3	2	1/4		1/4	1	137												
7	6	18	18	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	138												
7	6	19	19	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	139												
7	6	20	20	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	140												
8	7	21	21	0.0	0	0	Tempo	4/4	1	1	0											𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0	
8	7	21	21	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	141	Herr,	Herr										
8	7	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	142												
8	7	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	143	ich	so										
8	7	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	144	mein',	wehr,										
8	7	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	145	den	dass										
8	7	21	21	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	146												
8	7	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	147												
8	7	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	148												
8	7	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	149												
8	7	24	24	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	150												
8	7	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	151												
8	7	21	21	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	152												
8	7	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	153												
8	7	22	22	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	154												
8	7	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	155												
8	7	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	156												
8	7	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	157												
8	7	21	21	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	158												
8	7	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	159												
8	7	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	160												
8	7	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	161												
8	7	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	162												
8	7	21	21	0.5	0	0	Chord	4/4	3	2	1/8		1/8	1	163												
8	7	43/2	43/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	164												
8	7	22	22	1.0	1/4	1/4	Chord	4/4	3	2	1/4		1/4	1	165												
8	7	23	23	1.0	1/2	1/2	Chord	4/4	3	2	1/4		1/4	1	166												
8	7	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	167												
9	8	25	25	0.0	0	0	Tempo	4/4	1	1	0											𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
9	8	25	25	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	168	wol-	sie										
9	8	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	169	lest	mich										
9	8	27	27	0.0	1/2	1/2	Tempo	4/4	1	1	0											𝅘𝅥=68.3	68.0	𝅘𝅥	68.3	0.0	
9	8	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	170	du	nicht										
9	8	28	28	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	171	mir	um-										
9	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	172												
9	8	25	25	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	173												
9	8	51/2	51/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	174												
9	8	26	26	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	175												
9	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	176												
9	8	27	27	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	177												
9	8	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	178												
9	8	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	179												
9	8	25	25	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	180												
9	8	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	181												
9	8	27	27	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	182												
9	8	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	183												
9	8	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	184												
9	8	25	25	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	185												
