mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0	Je-	Je-					
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1	-su,	-su,					
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2	mei-	mei-					
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3	-ner	-ne					
1	1	0	0	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	4							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	5							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	6							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	7							
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	8							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	9							
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	10							
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	11							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	12							
1	1	0	0	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	13							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	14							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	15							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	16							
1	1	0	0	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	17							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	18							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	19							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	20							
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	21	See-	Freu-					
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	22	-len	-den-					
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	23	Won-	-son-					
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	24	-ne,	-ne,					
2	2	4	4	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	25							
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	26							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	27							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	28							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	29							
2	2	4	4	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	30							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	31							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	32							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	33							
2	2	4	4	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	34							
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	35							
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	36							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	37							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	38							
2	2	4	4	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	39							
2	2	5	5	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	40							
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	41							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	42							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	43							
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	44	Je-	Je-					
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	45	-su,	-su,					
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	46	mei-	dir					
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	47							
3	3	11	11	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	48	-ne	ist					
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	49							
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	50							
3	3	10	10	1.5	1/2	1/2	Chord	4/4	1	2	3/8	1/4	3/2	51							
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	52							
3	3	8	8	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	53							
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	54							
3	3	10	10	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	55							
3	3	23/2	23/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	56							
