mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	0	3.0	1	3/4	3/4	0						firstMeasure	2
2	2	3	3	3.0	1	3/4	3/4	0							3
3	3	6	6	3.0	1	3/4	3/4	0							4
4	4	9	9	3.0	1	3/4	3/4	0							5
5	5	12	12	3.0	1	3/4	3/4	0							6
6	6	15	15	3.0	1	3/4	3/4	0					line		7
7	7	18	18	3.0	1	3/4	3/4	0							8
8	8	21	21	3.0	1	3/4	3/4	0							9
9	9	24	24	3.0	1	3/4	3/4	0							10
10	10	27	27	3.0	1	3/4	3/4	0							11
11	11	30	30	3.0	1	3/4	3/4	0							12
12	12	33	33	3.0	1	3/4	3/4	0					line		13
13	13	36	36	3.0	1	3/4	3/4	0							14
14	14	39	39	3.0	1	3/4	3/4	0							15
15	15	42	42	3.0	1	3/4	3/4	0						start	16
16	16	45	45	3.0	1	3/4	3/4	0							17
17	17	48	48	3.0	1	3/4	3/4	0							18, 19
18	18		51	3.0	1	3/4	3/4	0	1					end	15
19	18	51	54	3.0	1	3/4	3/4	0	2		1	end		lastMeasure	-1
