mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	1.0	0	1/2	3/4	4	2	1/4		1/4	1		-2	46	Bb2	2	4
1	0	0	0	1.0	0	1/2	3/4	3	1	1/4		1/4	1		-2	58	Bb3	3	2
1	0	0	0	1.0	0	1/2	3/4	3	2	1/4		1/4	1		-2	58	Bb3	3	3
1	0	0	0	1.0	0	1/2	3/4	1	2	1/4		1/4	1		2	62	D4	4	1
1	0	0	0	1.0	0	1/2	3/4	1	1	1/4		1/4	1		-1	65	F4	4	0
2	1	1	1	1.0	0	0	3/4	4	2	1/4		1/4	1		2	38	D2	2	22
2	1	1	1	1.0	0	0	3/4	3	2	1/4		1/4	1		2	50	D3	3	19
2	1	1	1	1.0	0	0	3/4	3	1	1/4		1/4	1		-2	58	Bb3	3	15
2	1	1	1	1.0	0	0	3/4	1	2	1/4		1/4	1		-1	65	F4	4	10
2	1	1	1	1.0	0	0	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	5
2	1	2	2	1.0	1/4	1/4	3/4	4	2	1/4		1/4	1		0	36	C2	2	23
2	1	2	2	1.0	1/4	1/4	3/4	3	2	1/4		1/4	1		0	48	C3	3	20
2	1	2	2	0.5	1/4	1/4	3/4	3	1	1/8		1/8	1		-1	65	F4	4	16
2	1	2	2	0.5	1/4	1/4	3/4	1	2	1/8		1/8	1		-2	70	Bb4	4	11
2	1	2	2	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		2	74	D5	5	6
2	1	5/2	5/2	0.5	3/8	3/8	3/4	3	1	1/8		1/8	1		-3	63	Eb4	4	17
2	1	5/2	5/2	0.5	3/8	3/8	3/4	1	2	1/8		1/8	1		3	69	A4	4	12
2	1	5/2	5/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	7
2	1	3	3	1.0	1/2	1/2	3/4	4	2	1/4		1/4	1		-2	34	Bb1	1	24
2	1	3	3	1.0	1/2	1/2	3/4	3	2	1/4		1/4	1		-2	46	Bb2	2	21
2	1	3	3	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		-1	65	F4	4	18
2	1	3	3	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	13
2	1	3	3	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	70	Bb4	4	14
2	1	3	3	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		2	74	D5	5	8
2	1	7/2	7/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	9
3	2	4	4	1.0	0	0	3/4	4	2	1/4		1/4	1		-3	39	Eb2	2	39
3	2	4	4	1.0	0	0	3/4	3	2	1/4		1/4	1		-3	51	Eb3	3	34
3	2	4	4	1.0	0	0	3/4	3	1	1/4		1/4	1		-3	63	Eb4	4	29
3	2	4	4	1.0	0	0	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	27
3	2	4	4	1.0	0	0	3/4	1	1	1/4		1/4	1		1	79	G5	5	25
3	2	5	5	0.5	1/4	1/4	3/4	4	2	1/8		1/8	1		1	43	G2	2	40
3	2	5	5	0.5	1/4	1/4	3/4	3	2	1/8		1/8	1		1	55	G3	3	35
3	2	5	5	0.5	1/4	1/4	3/4	3	1	1/8		1/8	1		-2	58	Bb3	3	30
3	2	5	5	2.0	1/4	1/4	3/4	1	2	1/2		1/2	1		1	67	G4	4	28
3	2	5	5	2.0	1/4	1/4	3/4	1	1	1/2		1/2	1		-3	75	Eb5	5	26
3	2	11/2	11/2	0.5	3/8	3/8	3/4	4	2	1/8		1/8	1		6	42	F#2	2	41
3	2	11/2	11/2	0.5	3/8	3/8	3/4	3	2	1/8		1/8	1		6	54	F#3	3	36
3	2	11/2	11/2	0.5	3/8	3/8	3/4	3	1	1/8		1/8	1		3	57	A3	3	31
3	2	6	6	0.5	1/2	1/2	3/4	4	2	1/8		1/8	1		1	43	G2	2	42
3	2	6	6	0.5	1/2	1/2	3/4	3	2	1/8		1/8	1		1	55	G3	3	37
3	2	6	6	0.5	1/2	1/2	3/4	3	1	1/8		1/8	1		-2	58	Bb3	3	32
3	2	13/2	13/2	0.5	5/8	5/8	3/4	4	2	1/8		1/8	1		-3	39	Eb2	2	43
3	2	13/2	13/2	0.5	5/8	5/8	3/4	3	2	1/8		1/8	1		-3	51	Eb3	3	38
3	2	13/2	13/2	0.5	5/8	5/8	3/4	3	1	1/8		1/8	1		0	60	C4	4	33
4	3	7	7	0.5	0	0	3/4	4	2	1/8		1/8	1		-2	46	Bb2	2	57
4	3	7	7	0.5	0	0	3/4	3	2	1/8		1/8	1		-2	58	Bb3	3	53
4	3	7	7	2.0	0	0	3/4	3	1	1/2		1/2	1		2	62	D4	4	51
4	3	7	7	1.0	0	0	3/4	1	2	1/4		1/4	1		-1	65	F4	4	47
4	3	7	7	1.0	0	0	3/4	1	1	1/4		1/4	1		-1	77	F5	5	44
4	3	15/2	15/2	0.5	1/8	1/8	3/4	4	2	1/8		1/8	1		3	45	A2	2	58
4	3	15/2	15/2	0.5	1/8	1/8	3/4	3	2	1/8		1/8	1		3	57	A3	3	54
4	3	8	8	1.0	1/4	1/4	3/4	4	2	1/4		1/4	1		1	43	G2	2	59
4	3	8	8	1.0	1/4	1/4	3/4	3	2	1/4		1/4	1		1	55	G3	3	55
4	3	8	8	0.5	1/4	1/4	3/4	1	2	1/8		1/8	1		1	67	G4	4	48
4	3	8	8	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	45
4	3	17/2	17/2	0.5	3/8	3/8	3/4	1	2	1/8		1/8	1		3	69	A4	4	49
4	3	9	9	1.0	1/2	1/2	3/4	4	2	1/4		1/4	1		-3	39	Eb2	2	60
4	3	9	9	1.0	1/2	1/2	3/4	3	2	1/4		1/4	1		-3	51	Eb3	3	56
4	3	9	9	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		1	67	G4	4	52
4	3	9	9	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	50
4	3	9	9	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-3	75	Eb5	5	46
5	4	10	10	2.0	0	0	3/4	4	2	1/2		1/2	1		-1	41	F2	2	71
5	4	10	10	2.0	0	0	3/4	3	2	1/2		1/2	1		-1	53	F3	3	69
5	4	10	10	1.5	0	0	3/4	3	1	3/8		1/4	3/2		-1	65	F4	4	66
5	4	10	10	1.0	0	0	3/4	1	2	1/4		1/4	1		-2	70	Bb4	4	63
5	4	10	10	2.0	0	0	3/4	1	1	1/2		1/2	1		0	72	C5	5	61
5	4	11	11	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		3	69	A4	4	64
5	4	23/2	23/2	0.5	3/8	3/8	3/4	3	1	1/8		1/8	1		-3	63	Eb4	4	67
5	4	12	12	1.0	1/2	1/2	3/4	4	2	1/4		1/4	1		-2	34	Bb1	1	72
5	4	12	12	1.0	1/2	1/2	3/4	3	2	1/4		1/4	1		-2	46	Bb2	2	70
5	4	12	12	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		2	62	D4	4	68
5	4	12	12	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		-1	65	F4	4	65
5	4	12	12	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	62
6	5	13	13	0.5	0	0	3/4	4	2	1/8		1/8	1		3	45	A2	2	89
6	5	13	13	0.5	0	0	3/4	3	2	1/8		1/8	1		3	57	A3	3	84
6	5	13	13	0.5	0	0	3/4	3	1	1/8		1/8	1		0	60	C4	4	79
6	5	13	13	1.0	0	0	3/4	1	2	1/4		1/4	1		-1	65	F4	4	76
6	5	13	13	1.0	0	0	3/4	1	1	1/4		1/4	1		0	72	C5	5	73
6	5	27/2	27/2	0.5	1/8	1/8	3/4	4	2	1/8		1/8	1		1	43	G2	2	90
6	5	27/2	27/2	0.5	1/8	1/8	3/4	3	2	1/8		1/8	1		1	55	G3	3	85
6	5	27/2	27/2	0.5	1/8	1/8	3/4	3	1	1/8		1/8	1		-2	58	Bb3	3	80
6	5	14	14	0.5	1/4	1/4	3/4	4	2	1/8		1/8	1		3	45	A2	2	91
6	5	14	14	0.5	1/4	1/4	3/4	3	2	1/8		1/8	1		3	57	A3	3	86
6	5	14	14	0.5	1/4	1/4	3/4	3	1	1/8		1/8	1		0	60	C4	4	81
6	5	14	14	1.5	1/4	1/4	3/4	1	2	3/8		1/4	3/2		-1	65	F4	4	77
6	5	14	14	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-3	75	Eb5	5	74
6	5	29/2	29/2	0.5	3/8	3/8	3/4	4	2	1/8		1/8	1		-1	41	F2	2	92
6	5	29/2	29/2	0.5	3/8	3/8	3/4	3	2	1/8		1/8	1		-1	53	F3	3	87
6	5	29/2	29/2	0.5	3/8	3/8	3/4	3	1	1/8		1/8	1		3	57	A3	3	82
6	5	15	15	1.0	1/2	1/2	3/4	4	2	1/4		1/4	1		-2	46	Bb2	2	93
6	5	15	15	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		-2	58	Bb3	3	83
6	5	15	15	1.0	1/2	1/2	3/4	3	2	1/4		1/4	1		-2	58	Bb3	3	88
6	5	15	15	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74	D5	5	75
6	5	31/2	31/2	0.5	5/8	5/8	3/4	1	2	1/8		1/8	1		-1	65	F4	4	78
7	6	16	16	1.0	0	0	3/4	4	2	1/4		1/4	1		-1	41	F2	2	109
7	6	16	16	1.0	0	0	3/4	3	2	1/4		1/4	1		-1	53	F3	3	106
7	6	16	16	1.0	0	0	3/4	3	1	1/4		1/4	1		0	60	C4	4	103
7	6	16	16	1.0	0	0	3/4	1	2	1/4		1/4	1		3	69	A4	4	99
7	6	16	16	1.0	0	0	3/4	1	1	1/4		1/4	1		0	72	C5	5	94
7	6	17	17	1.0	1/4	1/4	3/4	4	2	1/4		1/4	1		-3	39	Eb2	2	110
