mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.5		0	3/4	4/4	3	2	1/8	1/8	1		-2	46	Bb2	2	5
1	0	0	0	0.5		0	3/4	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	3
1	0	0	0	1.0		0	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	2
1	0	0	0	1.0		0	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	1
1	0	0	0	1.0		0	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	0
1	0	1/2	1/2	0.5		1/8	7/8	4/4	3	2	1/8	1/8	1		3	45	A2	2	6
1	0	1/2	1/2	0.5		1/8	7/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	4
2	1	1	1	1.0		0	0	4/4	3	2	1/4	1/4	1		1	43	G2	2	16
2	1	1	1	1.0		0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	14
2	1	1	1	0.5		0	0	4/4	2	1	1/8	1/8	1		2	62	D4	4	11
2	1	1	1	1.0		0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	9
2	1	1	1	1.0		0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	7
2	1	3/2	3/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	12
2	1	2	2	1.0		1/4	1/4	4/4	3	2	1/4	1/4	1		2	38	D2	2	17
2	1	2	2	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	15
2	1	2	2	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		-1	65	F4	4	13
2	1	2	2	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		-4	68	Ab4	4	10
2	1	2	2	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	8
3	2	3	3	1.0		0	1/2	4/4	3	2	1/4	1/4	1		-3	39	Eb2	2	27
3	2	3	3	1.0		0	1/2	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	25
3	2	3	3	0.5		0	1/2	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	22
3	2	3	3	1.0		0	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	20
3	2	3	3	1.0		0	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	18
3	2	7/2	7/2	0.5		1/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	23
3	2	4	4	1.0		1/4	3/4	4/4	3	2	1/4	1/4	1		4	40	E2	2	28
3	2	4	4	1.0		1/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	26
3	2	4	4	1.0		1/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	24
3	2	4	4	1.0		1/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	21
3	2	4	4	1.0		1/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	19
4	3	5	5	1.0		0	0	4/4	3	2	1/4	1/4	1		-1	41	F2	2	46
4	3	5	5	1.0		0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	42
4	3	5	5	1.0		0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	38
4	3	5	5	0.5		0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	33
4	3	5	5	1.0		0	0	4/4	1	1	1/4	1/4	1		-4	68	Ab4	4	29
4	3	11/2	11/2	1.0		1/8	1/8	4/4	1	2	1/4	1/4	1		-1	65	F4	4	34
4	3	6	6	1.0		1/4	1/4	4/4	3	2	1/4	1/4	1		0	36	C2	2	47
4	3	6	6	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	43
4	3	6	6	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	39
4	3	6	6	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	30
4	3	13/2	13/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	35
4	3	7	7	1.0		1/2	1/2	4/4	3	2	1/4	1/4	1		-1	29	F1	1	48
4	3	7	7	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-1	41	F2	2	44
4	3	7	7	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	40
4	3	7	7	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4	31
4	3	7	7	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	36
4	3	8	8	1.0		3/4	3/4	4/4	3	2	1/4	1/4	1		3	33	A1	1	49
4	3	8	8	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	45
4	3	8	8	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	41
4	3	8	8	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	37
4	3	8	8	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	32
5	4	9	9	1.0		0	0	4/4	3	2	1/4	1/4	1		-2	34	Bb1	1	68
5	4	9	9	1.0		0	0	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	64
5	4	9	9	0.5		0	0	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	59
5	4	9	9	1.0		0	0	4/4	1	2	1/4	1/4	1		-1	65	F4	4	55
5	4	9	9	1.0		0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	50
5	4	19/2	19/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	60
5	4	10	10	1.0		1/4	1/4	4/4	3	2	1/4	1/4	1		0	36	C2	2	69
5	4	10	10	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	65
