mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0	1. Aus	Dein	Ob	sein						
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	1	tie-	gnä-	bei	Hand						
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	2	-fer	-dig	uns	zu						
1	1	0	0	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	3										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	4										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	5										
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	6										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	7										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	8										
1	1	0	0	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	9										
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	10										
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	11										
2	2	4	4	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	12	Noth	Ohr'n	ist	hel-						
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	13	schrei	neig'	der	-fen						
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	14										
2	2	6	6	0.0	1/2	1/2	Tempo	4/4	1	1	0								𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
