mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=83	83.0	𝅘𝅥	83.0	0.0	
1	1	0	0	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	0	Den						
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	1	Va-						
1	1	2	2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	2	-ter						
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	3	dort						
1	1	0	0	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	4							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	5							
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	6							
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	7							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	8							
1	1	0	0	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	9							
1	1	1	1	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	10							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	11							
1	1	3	3	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	12							
1	1	0	0	1.5	0	0	Chord	4/4	2	2	3/8	1/4	3/2	13							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	14							
1	1	2	2	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	15							
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	16							
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	17							
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	18	o-						
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	19	-ben						
2	2	4	4	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	20							0
2	2	5	5	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	21							
2	2	6	6	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	22							1
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	23							
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	24							
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	25							
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	26							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	27							
2	2	4	4	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	28							2
2	2	5	5	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	29							
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	30							
3	3	8	8	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	31	wol-						
3	3	9	9	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	32	-len						
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	33	wir						
3	3	11	11	0.0	3/4	3/4	Tempo	4/4	1	1	0					𝅘𝅥=79	79.0	𝅘𝅥	79.0	0.0	
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	34	nun						
3	3	8	8	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	35							
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	36							3
3	3	19/2	19/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	37							3
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	38							
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	39							
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	40							
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	41							4
3	3	23/2	23/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	42							4
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	43							
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	44							
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	45							
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	46							5
3	3	19/2	19/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	47							5
3	3	39/4	39/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	48							
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	49							
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	50							
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	51							
3	3	8	8	1.5	0	0	Chord	4/4	2	2	3/8	1/4	3/2	52							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	53							
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	54							
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	55							
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	56							6
3	3	23/2	23/2	0.25	7/8	7/8	Chord	4/4	2	2	1/16	1/16	1	57							6
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	58							
4	4	12	12	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	59	lo-						
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	60	-ben,						
4	4	12	12	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	61							7
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	62							7
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	63							7
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	64							7
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	65							
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	66							
4	4	12	12	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	67							8
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	68							
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	69							
4	4	12	12	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	70							
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	71							
4	4	13	13	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	72							
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	73							
5	5	16	16	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=82	82.0	𝅘𝅥	82.0	0.0	
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	74	der						
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	75	uns						
5	5	18	18	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	76	als						
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	77	ein						
5	5	16	16	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	78							
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	79							
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	80							
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	81							
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	82							
5	5	16	16	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	83							
5	5	17	17	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	84							
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	85							
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	86							
5	5	16	16	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	87							9
5	5	33/2	33/2	1.0	1/8	1/8	Chord	4/4	2	2	1/4	1/4	1	88							
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	89							
5	5	18	18	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	90							
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	91							
6	6	20	20	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	92	mil-						
6	6	21	21	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	93	-der						
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	94	Gott						
6	6	20	20	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	95							
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	96							
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	97							10
6	6	43/2	43/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	98							10
6	6	87/4	87/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	99							
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	100							
6	6	20	20	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	101							
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	102							
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	103							
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	104							
6	6	20	20	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	105							
6	6	21	21	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	106							
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	107							
7	7	24	24	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=81	81.0	𝅘𝅥	81.0	0.0	
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	108	gnä-						
7	7	25	25	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0	
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	109	-dig-						
