mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0								𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
1	0	0	0	0.0	0	1/2	StaffText	3/4	1	1	0							3 Trompeten						
1	0	0	0	0.0	0	1/2	StaffText	3/4	2	1	0							Pauken						
1	0	0	0	1.0	0	1/2	Chord	3/4	3	1	1/4	1/4	1	0										
1	0	0	0	1.0	0	1/2	Chord	3/4	4	2	1/4	1/4	1	1										
1	0	0	0	1.0	0	1/2	Chord	3/4	5	1	1/4	1/4	1	2										
1	0	0	0	1.0	0	1/2	Chord	3/4	6	1	1/4	1/4	1	3										
1	0	0	0	1.0	0	1/2	Chord	3/4	7	2	1/4	1/4	1	4										
1	0	0	0	1.0	0	1/2	Chord	3/4	8	1	1/4	1/4	1	5										
1	0	0	0	1.0	0	1/2	Chord	3/4	9	1	1/4	1/4	1	6										
1	0	0	0	1.0	0	1/2	Chord	3/4	10	1	1/4	1/4	1	7	11. Da-	12. Und								
1	0	0	0	1.0	0	1/2	Chord	3/4	10	2	1/4	1/4	1	8										
1	0	0	0	1.0	0	1/2	Chord	3/4	11	1	1/4	1/4	1	9										
1	0	0	0	1.0	0	1/2	Chord	3/4	11	2	1/4	1/4	1	10										
1	0	0	0	0.0	0	1/2	StaffText	3/4	11	3	0							Cont.						
1	0	0	0	0.5	0	1/2	Chord	3/4	11	3	1/8	1/8	1	11										
1	0	1/2	1/2	0.5	1/8	5/8	Chord	3/4	11	3	1/8	1/8	1	12										
1	0	0	0	0.0	0	1/2	StaffText	3/4	12	3	0							Cont.						
1	0	0	0	0.5	0	1/2	Chord	3/4	12	3	1/8	1/8	1	13										
1	0	1/2	1/2	0.5	1/8	5/8	Chord	3/4	12	3	1/8	1/8	1	14										
1	0	0	0	0.0	0	1/2	StaffText	3/4	13	3	0							Cont.						
1	0	0	0	0.5	0	1/2	Chord	3/4	13	3	1/8	1/8	1	15										
1	0	1/2	1/2	0.5	1/8	5/8	Chord	3/4	13	3	1/8	1/8	1	16										
2	1	1	1	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	17										
2	1	3	3	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	18										
2	1	1	1	2.0	0	0	Chord	3/4	4	2	1/2	1/2	1	19										
2	1	3	3	0.5	1/2	1/2	Chord	3/4	4	2	1/8	1/8	1	20										
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	4	2	1/8	1/8	1	21										
2	1	1	1	2.0	0	0	Chord	3/4	5	1	1/2	1/2	1	22										
2	1	3	3	1.0	1/2	1/2	Chord	3/4	5	1	1/4	1/4	1	23										
2	1	1	1	2.0	0	0	Chord	3/4	6	1	1/2	1/2	1	24										
2	1	3	3	1.0	1/2	1/2	Chord	3/4	6	1	1/4	1/4	1	25										
2	1	1	1	2.0	0	0	Chord	3/4	7	2	1/2	1/2	1	26										
2	1	3	3	0.5	1/2	1/2	Chord	3/4	7	2	1/8	1/8	1	27										
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	7	2	1/8	1/8	1	28										
2	1	1	1	2.0	0	0	Chord	3/4	8	1	1/2	1/2	1	29										
2	1	3	3	1.0	1/2	1/2	Chord	3/4	8	1	1/4	1/4	1	30										
2	1	1	1	2.0	0	0	Chord	3/4	9	1	1/2	1/2	1	31										
2	1	3	3	1.0	1/2	1/2	Chord	3/4	9	1	1/4	1/4	1	32										
2	1	1	1	2.0	0	0	Chord	3/4	10	1	1/2	1/2	1	33	-rum	bit-								
2	1	3	3	1.0	1/2	1/2	Chord	3/4	10	1	1/4	1/4	1	34	wir	-ten								
2	1	1	1	2.0	0	0	Chord	3/4	10	2	1/2	1/2	1	35										
2	1	3	3	0.5	1/2	1/2	Chord	3/4	10	2	1/8	1/8	1	36										
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	10	2	1/8	1/8	1	37										
2	1	1	1	2.0	0	0	Chord	3/4	11	1	1/2	1/2	1	38										
2	1	3	3	1.0	1/2	1/2	Chord	3/4	11	1	1/4	1/4	1	39										
2	1	1	1	0.5	0	0	Chord	3/4	11	2	1/8	1/8	1	40										0
2	1	3/2	3/2	0.5	1/8	1/8	Chord	3/4	11	2	1/8	1/8	1	41										0
2	1	2	2	0.5	1/4	1/4	Chord	3/4	11	2	1/8	1/8	1	42										0
2	1	5/2	5/2	0.5	3/8	3/8	Chord	3/4	11	2	1/8	1/8	1	43										
2	1	3	3	1.0	1/2	1/2	Chord	3/4	11	2	1/4	1/4	1	44										
2	1	3	3	0.5	1/2	1/2	Chord	3/4	11	3	1/8	1/8	1	45										
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	11	3	1/8	1/8	1	46										
2	1	1	1	0.5	0	0	Chord	3/4	12	2	1/8	1/8	1	47										1
2	1	3/2	3/2	0.5	1/8	1/8	Chord	3/4	12	2	1/8	1/8	1	48										1
2	1	2	2	0.5	1/4	1/4	Chord	3/4	12	2	1/8	1/8	1	49										1
2	1	5/2	5/2	0.5	3/8	3/8	Chord	3/4	12	2	1/8	1/8	1	50										
2	1	3	3	0.5	1/2	1/2	Chord	3/4	12	3	1/8	1/8	1	51										
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	12	3	1/8	1/8	1	52										
2	1	1	1	0.5	0	0	Chord	3/4	13	2	1/8	1/8	1	53										2
2	1	3/2	3/2	0.5	1/8	1/8	Chord	3/4	13	2	1/8	1/8	1	54										2
2	1	2	2	0.5	1/4	1/4	Chord	3/4	13	2	1/8	1/8	1	55										2
2	1	5/2	5/2	0.5	3/8	3/8	Chord	3/4	13	2	1/8	1/8	1	56										
2	1	3	3	0.5	1/2	1/2	Chord	3/4	13	3	1/8	1/8	1	57										
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	13	3	1/8	1/8	1	58										
3	2	6	6	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	59										
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	60										
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	61										
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	62										
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	63										
3	2	4	4	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	64										
3	2	6	6	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	65										
