mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0								𝅘𝅥=84	84.0	𝅘𝅥	84.0	0.0	
1	0	0	0	0.0	0	3/4	SystemText	4/4	1	1	0							2 Hörner						
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0										
1	0	0	0	0.5	0	3/4	Chord	4/4	1	2	1/8	1/8	1	1										
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	1	2	1/8	1/8	1	2										
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	3	In									
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	4										
1	0	0	0	1.0	0	3/4	Chord	4/4	3	1	1/4	1/4	1	5										
1	0	0	0	0.5	0	3/4	Chord	4/4	3	2	1/8	1/8	1	6										
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	3	2	1/8	1/8	1	7										
1	0	0	0	0.5	0	3/4	Chord	4/4	4	2	1/8	1/8	1	8										
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	4	2	1/8	1/8	1	9										
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	10										
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	11										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	12										
2	1	4	4	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	13										
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	14										
2	1	1	1	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	15										
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	16										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	17										
2	1	4	4	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	18										
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	19										
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	20	dich									
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	21	hab									
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	22	ich									0
2	1	4	4	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	23										0
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	24										0
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	25										
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	26										
2	1	3	3	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	27										1
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	28										1
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	29										1
2	1	1	1	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	30										
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	31										
2	1	2	2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	32										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	33										
2	1	4	4	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	34	ge-									
2	1	1	1	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	35										
2	1	2	2	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	36										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	37										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	38										
2	1	4	4	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	39										
2	1	1	1	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	40										
2	1	2	2	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	41										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	4	2	1/8	1/8	1	42										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	43										
2	1	4	4	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	44										
3	2	5	5	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	45										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	46										
3	2	7	7	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	47										
3	2	15/2	15/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	48										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	49										
3	2	5	5	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	50										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	51										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	52										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	53										
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	54										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	55	ge-									
3	2	7	7	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	56	-hof-									
3	2	15/2	15/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	57										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	58	-fet,									
3	2	5	5	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	59										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	60										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	61										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	62										
3	2	5	5	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	63	-hof-									2
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	64										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	65	-fet,									
3	2	5	5	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	66										3
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	67										3
3	2	7	7	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	68										3
3	2	15/2	15/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	69										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	70										
3	2	5	5	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	71										4
3	2	6	6	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	72										4
3	2	7	7	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	73										4
3	2	15/2	15/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	74										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	75										
