mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0						𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	Kei-	ob						
1	0	0	0	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	1								
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	2								
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	3								
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	4	-nen	Ihn						
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	5	hat	schon						
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	6	Gott	drum						
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	7	ver-	viel						
2	1	1	1	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	8								
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	9								
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	10								
2	1	3	3	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	11								
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	12								
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	13								
2	1	1	1	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	14								
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	15								
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	16								
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	17								
2	1	4	4	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	18								
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	19								
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	20								
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	21								
2	1	3	3	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	22								
2	1	7/2	7/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	23								
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	24								
3	2	5	5	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	25	-las-	has-						
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	26								
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	27	-sen,	-sen,						
3	2	8	8	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	28	der	so						
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	29								
3	2	5	5	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	30								0
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	31								
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	32								
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	33								
3	2	5	5	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	34								1
3	2	11/2	11/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	35								1
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	36								
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	37								
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	38								
3	2	5	5	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	39								
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	40								
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	41								
4	3	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	42	Ihn	bringt'es						
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	43	ver-	ihm						
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	44	-traut	doch						
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	45	all-	kein						
4	3	9	9	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	46								
4	3	10	10	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	47								
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	48								
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	49								
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	50								
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	51								
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	52								
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	53								
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	54								
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	55								
4	3	9	9	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	56								
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	57								
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	58								
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	59								
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	60								
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	61								
5	4	13	13	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	62	-zeit;	Leid.						
5	4	13	13	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	63								
5	4	13	13	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	64								
5	4	13	13	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	65								
6	4	16	16	0.0	0	3/4	Tempo	4/4	1	1	0						𝅘𝅥=77.5	78.0	𝅘𝅥	77.5	0.0	
6	4	16	16	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	66	Gott							
6	4	16	16	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	67								
6	4	16	16	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	68								
6	4	16	16	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	69								
7	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	70	will							
7	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	71	die							
7	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	72	Sei-							
7	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	73	-nen							
7	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	74								
7	5	18	18	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	75								
7	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	76								
7	5	19	19	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	77								
7	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	78								
7	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	79								
7	5	17	17	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	80								
7	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	81								
7	5	18	18	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	82								
7	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	83								
7	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	84								
7	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	85								
7	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	86								
7	5	18	18	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	87								
7	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	88								
7	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	89								
7	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	90								
8	6	21	21	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	91	schü-							
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	92	-tzen,							
8	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	93	zu-							
8	6	21	21	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	94								
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	95								
8	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	96								
8	6	21	21	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	97								
8	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	98								
8	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	99								
8	6	21	21	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	100								2
8	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	101								2
8	6	22	22	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	102								2
8	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	103								
8	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	104								
8	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	105								
9	7	25	25	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	106	-leitzt							
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	107								
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	108	er-							
9	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	109	-he-							
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	110	-ben							
9	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	111								
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	112								
9	7	27	27	1.5	1/2	1/2	Chord	4/4	1	2	3/8	1/4	3/2	113								
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	114								
9	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	115								
9	7	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	116								
9	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	117								
9	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	118								
9	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	119								
9	7	25	25	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	120								
9	7	26	26	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	121								
9	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	122								
9	7	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	123								
9	7	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	124								
10	8	29	29	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	125	hoch,							
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	126	und							
10	8	29	29	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	127								
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	128								
10	8	29	29	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	129								
10	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	130								
10	8	29	29	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	131								
10	8	32	32	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	132								
11	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	133	ge-							
11	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	134	-ben,							
11	9	35	35	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	135	was							
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	136	ihn'n							
11	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	137								
11	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	138								
11	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	139								
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	140								
11	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	141								
11	9	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	142								
11	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	143								
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	144								
11	9	33	33	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	145								
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	146								
11	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	147								
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	148								
11	9	35	35	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	149								
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	150								
11	9	36	36	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	151								
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	152								
12	10	37	37	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
12	10	37	37	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	153	nü-							
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	154	-tzet,							
12	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	155	hier							
