mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0									𝅘𝅥=71.7	72.0	𝅘𝅥	71.7	0.0	
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	1. O	bis	8. Herr,	die							
1	0	0	0	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	1											
1	0	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	2											
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	3											
1	0	0	0	0.0	0	3/4	StaffText	4/4	2	3	0								Cont.						
1	0	0	0	0.5	0	3/4	Chord	4/4	2	3	1/8	1/8	1	4											
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	2	3	1/8	1/8	1	5											
1	0	0	0	0.0	0	3/4	StaffText	4/4	3	3	0								Cont.						
1	0	0	0	0.5	0	3/4	Chord	4/4	3	3	1/8	1/8	1	6											
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	3	3	1/8	1/8	1	7											
1	0	0	0	0.0	0	3/4	StaffText	4/4	4	3	0								Cont.						
1	0	0	0	0.5	0	3/4	Chord	4/4	4	3	1/8	1/8	1	8											
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	4	3	1/8	1/8	1	9											
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	10	Her-	durch	ich	dein							
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	11	-re	dein	hoff'	Wort							
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	12	Gott,	Gnad'	je,	recht							
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	13	dein	uns	du	als							
2	1	1	1	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	14											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	15											
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	16											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	17											
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	18											
2	1	2	2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	19											
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	20											
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	21											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	22											
2	1	1	1	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	23											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	24											
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	25											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	26											
2	1	1	1	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	27											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	28											
2	1	3	3	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	29											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	30											
2	1	1	1	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	31											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	32											
2	1	3	3	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	33											
2	1	4	4	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	34											
3	2	5	5	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	35	gött-	ist	wer-	treu-							
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	36	-lich	ge-	-dest	-e							
3	2	7	7	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=71.1	71.0	𝅘𝅥	71.1	0.0	
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	37	Wort	-sagt,	die	Knecht'							
3	2	8	8	0.0	3/4	3/4	Tempo	4/4	1	1	0									𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	38	ist	was	in	im							
3	2	5	5	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	39											
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	40											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	41											
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	42											
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	43											
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	44											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	45											
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	46											
3	2	5	5	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	47											
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	48											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	49											
3	2	8	8	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	50											
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	51											
3	2	5	5	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	52											
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	53											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	54											
3	2	8	8	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	55											
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	56											
3	2	5	5	1.0	0	0	Chord	4/4	4	2	1/4	1/4	1	57											
3	2	6	6	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	58											
3	2	7	7	1.0	1/2	1/2	Chord	4/4	4	2	1/4	1/4	1	59											
3	2	8	8	0.5	3/4	3/4	Chord	4/4	4	2	1/8	1/8	1	60											
