mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	0	1	0a	0	0	1.0	0	3/4	4/4	2	2	1/4		1/4	1		4	52	E3	3	3	0.86	1.76
1	0	1	0a	0	0	1.0	0	3/4	4/4	2	1	1/4		1/4	1		1	55	G3	3	2	0.86	1.76
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	2	1/4		1/4	1		4	64	E4	4	1	0.86	1.76
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	1	1/4		1/4	1		5	71	B4	4	0	0.86	1.76
2	1	2	1a	1	1	0.5	0	0	4/4	2	2	1/8		1/8	1		4	52	E3	3	25	1.76	2.26
2	1	2	1a	1	1	1.0	0	0	4/4	2	1	1/4		1/4	1		5	59	B3	3	18	1.76	2.56
2	1	2	1a	1	1	1.0	0	0	4/4	1	2	1/4		1/4	1		4	64	E4	4	10	1.76	2.56
2	1	2	1a	1	1	1.0	0	0	4/4	1	1	1/4		1/4	1		1	67	G4	4	4	1.76	2.56
2	1	2	1a	3/2	3/2	0.5	1/8	1/8	4/4	2	2	1/8		1/8	1		9	51	D#3	3	26	2.26	2.56
2	1	2	1a	2	2	0.5	1/4	1/4	4/4	2	2	1/8		1/8	1		4	52	E3	3	27	2.56	2.92
2	1	2	1a	2	2	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		0	60	C4	4	19	2.56	2.92
2	1	2	1a	2	2	0.5	1/4	1/4	4/4	1	2	1/8		1/8	1		6	66	F#4	4	11	2.56	2.92
2	1	2	1a	2	2	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		3	69	A4	4	5	2.56	2.92
2	1	2	1a	5/2	5/2	0.5	3/8	3/8	4/4	2	2	1/8		1/8	1		9	51	D#3	3	28	2.92	3.38
2	1	2	1a	5/2	5/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		6	54	F#3	3	20	2.92	3.38
2	1	2	1a	5/2	5/2	0.25	3/8	3/8	4/4	1	2	1/16		1/16	1		1	67	G4	4	12	2.92	3.13
2	1	2	1a	5/2	5/2	0.25	3/8	3/8	4/4	1	1	1/16		1/16	1		5	71	B4	4	6	2.92	3.13
2	1	2	1a	11/4	11/4	0.25	7/16	7/16	4/4	1	2	1/16		1/16	1		3	69	A4	4	13	3.13	3.38
2	1	2	1a	11/4	11/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		0	72	C5	5	7	3.13	3.38
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	2	2	1/8		1/8	1		4	52	E3	3	29	3.38	3.88
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		1	55	G3	3	21	3.38	3.88
2	1	2	1a	3	3	0.5	1/2	1/2	4/4	1	2	1/8		1/8	1		1	67	G4	4	14	3.38	3.88
2	1	2	1a	3	3	1.5	1/2	1/2	4/4	1	1	3/8		1/4	3/2		5	71	B4	4	8	3.38	4.52
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	2	2	1/8		1/8	1		6	54	F#3	3	30	3.88	4.06
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		3	57	A3	3	22	3.88	4.06
2	1	2	1a	7/2	7/2	0.5	5/8	5/8	4/4	1	2	1/8		1/8	1		9	63	D#4	4	15	3.88	4.06
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	2	2	1/8		1/8	1		1	55	G3	3	31	4.06	4.52
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		5	59	B3	3	23	4.06	4.52
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	1	2	1/8		1/8	1		4	64	E4	4	16	4.06	4.52
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	2	2	1/8		1/8	1		3	57	A3	3	32	4.52	4.92
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		0	60	C4	4	24	4.52	4.92
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8		1/8	1		6	66	F#4	4	17	4.52	4.92
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	9	4.52	4.92
3	2	3	2a	5	5	1.0	0	0	4/4	2	1	1/4		1/4	1		5	59	B3	3	45	4.92	5.64
3	2	3	2a	5	5	1.0	0	0	4/4	2	2	1/4		1/4	1		5	59	B3	3	50	4.92	5.64
3	2	3	2a	5	5	0.5	0	0	4/4	1	2	1/8		1/8	1		6	66	F#4	4	39	4.92	5.38
3	2	3	2a	5	5	1.0	0	0	4/4	1	1	1/4		1/4	1		1	67	G4	4	33	4.92	5.64
3	2	3	2a	11/2	11/2	0.5	1/8	1/8	4/4	1	2	1/8		1/8	1		4	64	E4	4	40	5.38	5.64
3	2	3	2a	6	6	1.0	1/4	1/4	4/4	2	2	1/4		1/4	1		5	47	B2	2	51	5.64	6.48
