mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	0	1	0a	0	0	0.5		0	3/4	4/4	2	2	1/8	1/8	1		-2	58	Bb3	3	3	0.8	1.26
1	0	1	0a	0	0	1.0		0	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	2	0.8	1.7
1	0	1	0a	0	0	1.0		0	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	1	0.8	1.7
1	0	1	0a	0	0	1.0		0	3/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	0	0.8	1.7
1	0	1	0a	1/2	1/2	0.5		1/8	7/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	4	1.26	1.7
2	1	2	1a	1	1	1.0		0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	12	1.7	2.4
2	1	2	1a	1	1	0.5		0	0	4/4	2	1	1/8	1/8	1		2	62	D4	4	9	1.7	2.08
2	1	2	1a	1	1	1.0		0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	7	1.7	2.4
2	1	2	1a	1	1	1.0		0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	5	1.7	2.4
2	1	2	1a	3/2	3/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	10	2.08	2.4
2	1	2	1a	2	2	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	13	2.4	2.94
2	1	2	1a	2	2	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		-1	65	F4	4	11	2.4	2.94
2	1	2	1a	2	2	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		-4	68	Ab4	4	8	2.4	2.94
2	1	2	1a	2	2	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	6	2.4	2.94
3	1	3	1a	3	3	1.0		0	1/2	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	21	2.94	3.6
3	1	3	1a	3	3	0.5		0	1/2	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	18	2.94	3.402222222222222
3	1	3	1a	3	3	1.0		0	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	16	2.94	3.6
3	1	3	1a	3	3	1.0		0	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	14	2.94	3.6
3	1	3	1a	7/2	7/2	0.5		1/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	19	3.402222222222222	3.6
3	1	3	1a	4	4	1.0		1/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	22	3.6	4.3
3	1	3	1a	4	4	1.0		1/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	20	3.6	4.3
3	1	3	1a	4	4	1.0		1/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	17	3.6	4.3
3	1	3	1a	4	4	1.0		1/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	15	3.6	4.3
4	2	4	2a	5	5	1.0		0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	36	4.3	5.0
4	2	4	2a	5	5	1.0		0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	32	4.3	5.0
4	2	4	2a	5	5	0.5		0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	27	4.3	4.68
4	2	4	2a	5	5	1.0		0	0	4/4	1	1	1/4	1/4	1		-4	68	Ab4	4	23	4.3	5.0
4	2	4	2a	11/2	11/2	1.0		1/8	1/8	4/4	1	2	1/4	1/4	1		-1	65	F4	4	28	4.68	5.36
4	2	4	2a	6	6	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	37	5.0	5.86
4	2	4	2a	6	6	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	33	5.0	5.86
4	2	4	2a	6	6	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	24	5.0	5.86
4	2	4	2a	13/2	13/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	29	5.36	5.86
4	2	4	2a	7	7	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-1	41	F2	2	38	5.86	6.48
4	2	4	2a	7	7	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	34	5.86	6.48
4	2	4	2a	7	7	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4	25	5.86	6.48
4	2	4	2a	7	7	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65	F4	4	30	5.86	6.48
4	2	4	2a	8	8	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	39	6.48	7.22
4	2	4	2a	8	8	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	35	6.48	7.22
4	2	4	2a	8	8	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	31	6.48	7.22
4	2	4	2a	8	8	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	26	6.48	7.22
5	3	5	3a	9	9	1.0		0	0	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	54	7.22	7.94
5	3	5	3a	9	9	0.5		0	0	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	49	7.22	7.72
5	3	5	3a	9	9	1.0		0	0	4/4	1	2	1/4	1/4	1		-1	65	F4	4	45	7.22	7.94
5	3	5	3a	9	9	1.0		0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	40	7.22	7.94
