mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
1	0	1	0a	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	5	0.34	1.28
1	0	1	0a	0	0	0.5	0	3/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	3	0.34	0.84
1	0	1	0a	0	0	0.5	0	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	1	0.34	0.84
1	0	1	0a	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	0	0.34	1.28
1	0	1	0a	1/2	1/2	0.5	1/8	7/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	4	0.84	1.28
1	0	1	0a	1/2	1/2	0.5	1/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	2	0.84	1.28
2	1	2	1a	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		5	59	B3	3	19	1.28	1.96
2	1	2	1a	1	1	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	15	1.28	1.96
2	1	2	1a	1	1	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	10	1.28	1.96
2	1	2	1a	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	6	1.28	1.96
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		10	58	A#3	3	20	1.96	2.52
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	16	1.96	2.52
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	11	1.96	2.52
2	1	2	1a	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	7	1.96	2.52
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	17	2.52	3.12
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	59	B3	3	21	2.52	3.12
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	12	2.52	3.12
2	1	2	1a	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	8	2.52	3.12
2	1	2	1a	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	22	3.12	3.76
2	1	2	1a	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	18	3.12	3.76
2	1	2	1a	4	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	13	3.12	3.3628571428571425
2	1	2	1a	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	9	3.12	3.76
2	1	2	1a	9/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	14	3.3628571428571425	3.76
3	2	3	2a	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	33	3.76	4.28
3	2	3	2a	5	5	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	29	3.76	4.28
3	2	3	2a	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	26	3.76	4.28
3	2	3	2a	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	23	3.76	4.28
3	2	3	2a	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	34	4.28	4.98
3	2	3	2a	6	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	30	4.28	4.48
3	2	3	2a	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	27	4.28	4.98
3	2	3	2a	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	24	4.28	4.98
3	2	3	2a	13/2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	31	4.48	4.98
3	2	3	2a	7	7	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		6	54	F#3	3	35	4.98	6.539166666666667
3	2	3	2a	7	7	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		7	61	C#4	4	32	4.98	6.539166666666667
3	2	3	2a	7	7	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		6	66	F#4	4	28	4.98	6.539166666666667
3	2	3	2a	7	7	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		10	70	A#4	4	25	4.98	6.539166666666667
4	3	4	3a	9	9	2.0	0	0	4/4	2	2	1/2	1/2	1		6	42	F#2	2	42	6.539166666666667	8.52
4	3	4	3a	9	9	2.0	0	0	4/4	2	1	1/2	1/2	1		10	58	A#3	3	40	6.539166666666667	8.52
4	3	4	3a	9	9	2.0	0	0	4/4	1	2	1/2	1/2	1		7	61	C#4	4	38	6.539166666666667	8.52
4	3	4	3a	9	9	2.0	0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	36	6.539166666666667	8.52
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	43	8.56	9.1
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	41	8.56	9.1
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	39	8.56	9.1
4	3	4	3a	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	37	8.56	9.1
5	4	5	4a	13	13	1.0	0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	56	9.1	10.0
5	4	5	4a	13	13	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	52	9.1	10.0
5	4	5	4a	13	13	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	48	9.1	10.0
5	4	5	4a	13	13	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	44	9.1	10.0
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	57	10.0	10.6
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	53	10.0	10.6
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	49	10.0	10.6
5	4	5	4a	14	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	45	10.0	10.6
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	58	10.6	11.24
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	54	10.6	11.24
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	50	10.6	11.24
5	4	5	4a	15	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	46	10.6	11.24
5	4	5	4a	16	16	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	59	11.24	11.48
5	4	5	4a	16	16	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	55	11.24	11.84
5	4	5	4a	16	16	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	51	11.24	11.84
5	4	5	4a	16	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	47	11.24	11.84
5	4	5	4a	33/2	33/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	60	11.48	11.84
6	5	6	5a	17	17	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	70	11.84	12.66
6	5	6	5a	17	17	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	67	11.84	12.66
6	5	6	5a	17	17	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	64	11.84	12.66
6	5	6	5a	17	17	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	61	11.84	12.66
6	5	6	5a	18	18	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	71	12.66	13.2
6	5	6	5a	18	18	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	68	12.66	13.2
6	5	6	5a	18	18	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	65	12.66	13.2
6	5	6	5a	18	18	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		10	70	A#4	4	62	12.66	13.2
6	5	6	5a	19	19	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	72	13.2	14.2
6	5	6	5a	19	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	69	13.2	14.2
6	5	6	5a	19	19	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	66	13.2	14.2
6	5	6	5a	19	19	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	63	13.2	14.2
1	0	7	5a	20	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	5	14.2	14.6
1	0	7	5a	20	0	0.5	0	3/4	4/4	2	1	1/8	1/8	1		5	59	B3	3	3	14.2	14.3
1	0	7	5a	20	0	0.5	0	3/4	4/4	1	2	1/8	1/8	1		2	62	D4	4	1	14.2	14.3
1	0	7	5a	20	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		6	66	F#4	4	0	14.2	14.6
1	0	7	5a	41/2	1/2	0.5	1/8	7/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	4	14.3	14.6
1	0	7	5a	41/2	1/2	0.5	1/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	2	14.3	14.6
2	1	8	1b	21	1	1.0	0	0	4/4	2	2	1/4	1/4	1		5	59	B3	3	19	14.6	15.28
2	1	8	1b	21	1	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	15	14.6	15.28
2	1	8	1b	21	1	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	10	14.6	15.28
2	1	8	1b	21	1	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	6	14.6	15.28
2	1	8	1b	22	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		10	58	A#3	3	20	15.28	15.94
2	1	8	1b	22	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	16	15.28	15.94
2	1	8	1b	22	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	11	15.28	15.94
2	1	8	1b	22	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	7	15.28	15.94
2	1	8	1b	23	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	17	15.94	16.54
2	1	8	1b	23	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	59	B3	3	21	15.94	16.54
2	1	8	1b	23	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	12	15.94	16.54
2	1	8	1b	23	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	8	15.94	16.54
2	1	8	1b	24	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	22	16.54	17.12
2	1	8	1b	24	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		10	58	A#3	3	18	16.54	17.12
2	1	8	1b	24	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	13	16.54	16.849090909090908
2	1	8	1b	24	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	9	16.54	17.12
2	1	8	1b	49/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	14	16.849090909090908	17.12
3	2	9	2b	25	5	1.0	0	0	4/4	2	2	1/4	1/4	1		1	55	G3	3	33	17.12	17.78
3	2	9	2b	25	5	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	29	17.12	17.78
3	2	9	2b	25	5	1.0	0	0	4/4	1	2	1/4	1/4	1		2	62	D4	4	26	17.12	17.78
3	2	9	2b	25	5	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	23	17.12	17.78
3	2	9	2b	26	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	34	17.78	18.4
3	2	9	2b	26	6	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	30	17.78	17.92
3	2	9	2b	26	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	27	17.78	18.4
3	2	9	2b	26	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	24	17.78	18.4
3	2	9	2b	53/2	13/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	31	17.92	18.4
3	2	9	2b	27	7	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		6	54	F#3	3	35	18.4	20.4
3	2	9	2b	27	7	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		7	61	C#4	4	32	18.4	20.4
3	2	9	2b	27	7	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		6	66	F#4	4	28	18.4	20.4
3	2	9	2b	27	7	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		10	70	A#4	4	25	18.4	20.4
4	3	10	3b	29	9	2.0	0	0	4/4	2	2	1/2	1/2	1		6	42	F#2	2	42	20.4	21.88
4	3	10	3b	29	9	2.0	0	0	4/4	2	1	1/2	1/2	1		10	58	A#3	3	40	20.4	21.88
4	3	10	3b	29	9	2.0	0	0	4/4	1	2	1/2	1/2	1		7	61	C#4	4	38	20.4	21.88
4	3	10	3b	29	9	2.0	0	0	4/4	1	1	1/2	1/2	1		6	66	F#4	4	36	20.4	21.88
4	3	10	3b	32	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	43	21.96	22.74
4	3	10	3b	32	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	41	21.96	22.74
4	3	10	3b	32	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	39	21.96	22.74
4	3	10	3b	32	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	37	21.96	22.74
5	4	11	4b	33	13	1.0	0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	56	22.74	23.3
5	4	11	4b	33	13	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	52	22.74	23.3
5	4	11	4b	33	13	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	48	22.74	23.3
5	4	11	4b	33	13	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	44	22.74	23.3
5	4	11	4b	34	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	57	23.3	24.06
5	4	11	4b	34	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	53	23.3	24.06
5	4	11	4b	34	14	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	49	23.3	24.06
5	4	11	4b	34	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	45	23.3	24.06
5	4	11	4b	35	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	58	24.06	24.66
